url_length,domain_length,num_dots,num_hyphens,num_underscores,num_slashes,num_question_marks,num_equal_signs,num_at_symbols,num_ampersands,has_https,num_digits,num_parameters,uses_ip_address,suspicious_tld,domain_age_days,num_iframes,num_scripts,num_links,num_suspicious_tags,num_forms,has_password_field,has_login_form,has_submit_button,num_images,tiny_text,invisible_elements,popup_count,favicon_mismatch,external_redirects,obfuscated_js,is_phishing
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,3,10,1,0,0,1,2,0,0,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,17,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,14,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,15,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,14,30,2,0,0,1,1,0,0,1,1,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8,0,24,0,0,0,0,0,1,1,0,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,371,20,1,0,0,1,1,0,0,0,0,6,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,16,77,81,0,0,0,1,19,1,1,0,0,1,0,0
24,12,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,20,42,24,1,0,0,0,3,5,7,3,0,1,0,0
25,13,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,14,71,210,1,0,0,1,17,1,1,0,1,6,0,0
16,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,41,15,26,0,0,0,0,0,17,17,2,0,1,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,22,231,61,7,0,0,0,44,10,10,0,0,7,0,0
14,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,14,0,38,0,0,0,0,1,0,0,0,0,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,62,133,149,5,0,0,1,54,1,1,0,0,1,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,69,48,58,1,0,0,1,19,0,0,1,1,2,1,0
15,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,29,23,59,1,0,0,1,11,7,7,2,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,53,1,81,0,0,0,0,0,0,0,0,1,1,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,5,0,63,0,0,0,0,0,1,1,0,0,0,0,0
20,8,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,113,26,1,0,0,0,2,0,0,0,0,111,1,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,8,138,33,1,0,0,0,8,1,1,0,0,3,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,65,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,18,133,65,1,0,0,0,14,13,13,0,0,107,0,0
28,16,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,10,71,38,0,0,0,0,10,0,0,0,1,31,0,0
29,17,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,14,18,21,1,0,0,1,10,30,30,0,0,14,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,30,197,94,0,0,0,0,13,3,3,0,0,2,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,148,69,2,0,0,1,8,2,2,0,0,4,0,0
15,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0
21,9,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,25,152,86,1,0,0,1,26,1,1,1,0,8,1,0
14,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,31,187,63,4,0,0,0,72,6,6,0,1,3,0,0
21,9,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,6,113,26,1,0,0,0,2,0,0,0,0,111,1,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,41,99,103,2,0,0,0,4,3,3,1,0,63,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,37,9,56,1,0,0,1,1,3,3,1,1,4,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,55,122,76,1,0,0,1,13,0,0,1,0,7,0,0
28,16,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,10,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,5,17,33,0,0,0,0,6,0,0,0,0,6,0,0
22,10,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,14,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,42,23,0,0,0,0,0,0,1,0,0,16,0,0
16,4,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,15,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,13,144,17,0,0,0,0,16,2,2,0,0,21,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,12,87,134,2,0,0,1,32,0,0,0,0,6,0,0
20,8,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,16,44,0,0,0,0,42,1,1,0,0,0,0,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,113,26,1,0,0,0,2,0,0,0,0,110,1,0
17,5,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,6,78,81,1,0,0,0,36,2,2,0,0,4,0,0
18,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,42,159,41,1,0,0,0,45,0,0,0,0,6,0,0
23,12,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8,508,28,1,0,0,1,22,5,5,0,0,15,0,0
23,7,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,41,15,26,0,0,0,0,0,17,17,2,0,1,0,0
22,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,14,18,21,1,0,0,1,10,30,30,0,0,0,0,0
23,7,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,12,349,55,5,1,1,1,119,16,16,0,0,7,0,0
21,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,54,0,76,0,0,0,0,0,0,0,0,0,0,0,0
48,6,2,0,0,7,0,0,0,0,1,1,0,0,0,0,0,18,367,132,2,0,0,1,83,0,0,0,0,7,0,0
37,12,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,4,15,2,1,1,0,1,1,1,1,0,4,0,0
32,6,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,22,4,19,1,1,1,0,1,1,1,1,0,0,1,0
53,12,3,1,0,4,0,0,0,0,1,0,0,0,0,0,1,7,203,25,1,0,0,1,5,2,2,0,0,50,0,0
19,7,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,27,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,19,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,25,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,16,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,24,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,24,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,19,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,21,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,22,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,22,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,18,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,21,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,24,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,21,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,22,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,18,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,24,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,19,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,21,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,15,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,23,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,19,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,24,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,22,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,17,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,18,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,25,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,20,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,28,4,26,1,0,0,1,2,3,3,0,0,0,1,1
55,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,6,2,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,6,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,34,42,60,1,1,1,1,3,2,2,1,1,24,0,1
30,6,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1
24,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,29,4,26,1,0,0,1,2,5,5,0,0,0,1,1
28,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,8,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,28,4,26,1,0,0,1,2,5,5,0,0,0,1,1
20,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1
28,16,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,12,20,31,0,0,0,0,12,0,0,0,0,0,0,1
32,8,1,0,0,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,10,2,1,0,2,0,0,0,0,1,6,0,0,0,0,0,15,0,32,0,0,0,0,0,0,0,1,1,0,1,1
37,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,27,4,26,1,0,0,1,2,5,5,0,0,0,1,1
35,10,2,1,0,2,0,0,0,0,1,6,0,0,0,0,0,15,0,32,0,0,0,0,0,0,0,1,1,0,1,1
43,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,2,3,1,0,3,0,0,0,0,1,17,0,0,0,0,0,7,2,110,5,1,1,0,96,0,0,0,1,0,0,1
44,9,2,1,0,3,0,0,0,0,1,2,0,0,0,0,0,56,2,29,1,0,0,0,1,0,2,2,1,0,0,1
31,6,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,29,4,26,1,0,0,1,2,5,5,0,0,0,1,1
37,22,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,6,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,28,4,26,1,0,0,1,2,3,3,0,0,0,1,1
34,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,6,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,12,2,1,0,2,0,0,0,0,1,3,0,0,0,0,0,6,7,35,1,0,0,1,2,1,1,0,0,3,0,1
81,28,3,2,0,6,0,0,0,0,1,0,0,0,0,0,0,9,1,12,1,1,1,1,1,2,2,1,1,1,0,1
46,10,2,3,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,10,2,3,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,10,2,3,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,6,2,0,0,3,0,2,0,3,1,16,0,0,0,0,0,4,19,28,4,1,1,0,16,9,9,1,0,0,0,1
43,5,2,2,0,3,0,0,0,0,1,3,0,0,0,0,0,2,0,6,1,0,0,1,6,0,0,0,0,0,0,1
55,10,2,3,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,14,2,1,0,5,1,1,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,10,2,3,0,2,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,12,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,6,1,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,6,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,6,1,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,7,1,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,7,1,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,19,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,5,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,13,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,10,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,14,18,21,1,0,0,1,10,30,30,0,0,14,0,1
48,17,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1
34,17,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,11,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,3,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,50,5,0,0,0,0,4,0,0,0,0,1,0,1
36,8,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
